rank;best_yield;iteration;repetition;best_unc;max_unc;av_unc;std_unc;av_unc_train;av_unc_test;tota_av_unc
7;0.3382759510633101;125;63;0.2628373218770616;0.28629891117776646;0.24418913722770444;0.018369983542885424;0.1679489399773673;0.2511200642504624;0.24418913722770444
14;0.33699998047392843;125;65;0.24607131748834404;0.24607131748834404;0.22089660349836382;0.012422215342373144;0.18372721210523194;0.22427563907955764;0.22089660349836382
7;0.2782987304102126;124;73;0.20440701994713;0.23902274651752953;0.21469008748705418;0.010397824724741577;0.1888375171397246;0.21702030497045438;0.2146900874870542
2;0.4085018172464814;125;64;0.2466185132983207;0.29404699993224526;0.24581513098645616;0.020838313498743037;0.16661923507698134;0.2530147578873176;0.24581513098645616
1;0.31842740313671725;125;66;0.21754459178442598;0.24506646882882677;0.22145298924596443;0.011590874911047258;0.19110104768200206;0.22421225666087005;0.22145298924596443
2;0.38910046511702406;126;60;0.2464360079698843;0.2858011665260833;0.24588080811777732;0.02106215414798777;0.16563543606759165;0.2532380597129969;0.24588080811777732
2;0.49043345157849993;125;70;0.2638817806224154;0.3038108016200198;0.2546182030519759;0.023513259744973387;0.16067994143410802;0.2631580450172366;0.2546182030519759
4;0.3363736269593469;126;61;0.22892974936015953;0.26938552810001054;0.2354097096240175;0.015210068833823417;0.17544771237635448;0.2409072914612233;0.2354097096240175
2;0.4121916283752071;125;67;0.23704177528724427;0.2784275209789283;0.2368082224875001;0.019870428149063417;0.1638679087869408;0.24343916009664188;0.2368082224875001
1;0.3312471999108386;125;68;0.23368706970623712;0.2635506877140059;0.23804899449109154;0.012301438556229189;0.19448136182975395;0.242009688369395;0.23804899449109151
0;0.36361970446129555;125;69;0.22488651133745943;0.26586035279324827;0.22645590575148158;0.017287719632408848;0.1650500619388131;0.2320382551889969;0.22645590575148156
1;0.32384151186481414;124;74;0.22321243171109995;0.2663100516171163;0.22695689461547386;0.015002197200599072;0.18260930173987824;0.23095415813229475;0.2269568946154739
2;0.36818233887034385;124;77;0.21667304085139033;0.2585905350612714;0.2285459471464161;0.01588928550186616;0.16611744433706208;0.23417293072114143;0.22854594714641616
3;0.2974687571793214;124;76;0.23855688834077982;0.24185384424303663;0.22837002510525709;0.00813588330318955;0.20970893128438534;0.23005203994929596;0.22837002510525709
0;0.33641678948481274;124;75;0.22589290722994765;0.26376752466880754;0.22331149657992647;0.01812152829522937;0.1726600190445924;0.22787695977864003;0.22331149657992647
4;0.3916136609930872;125;71;0.25575936951128764;0.29755588507865005;0.2604399731545244;0.01860962327895266;0.17567128737458962;0.26814621731633664;0.2604399731545244
8;0.35334369836756113;125;72;0.26119875786555846;0.26326373160717953;0.23630844341656013;0.015015470252384804;0.17876834818866735;0.24153936116455038;0.23630844341656013
4;0.32384885016058107;126;62;0.22391468326348296;0.2665558121566912;0.23192812779045843;0.014678828442358509;0.1863606683637933;0.23610595456092023;0.23192812779045843
5;0.331396690955821;126;63;0.25967614805258465;0.2862645505079652;0.2419165469418435;0.018732549818223917;0.16687451993732788;0.24879673278660722;0.24191654694184347
15;0.3362665895345057;126;65;0.25186127022027655;0.25186127022027655;0.22851274217549802;0.011391545081491589;0.1911997455209803;0.23193376319073103;0.22851274217549808
5;0.2834382859674594;125;73;0.20566207673996537;0.23813390442981258;0.2158631887991995;0.009857139618056322;0.1898137964725129;0.2182313153743528;0.21586318879919952
2;0.40329628348289853;126;64;0.24420110975529172;0.29172332797105127;0.2445705522569833;0.02114610029007272;0.1656843641563691;0.2518031878397688;0.2445705522569833
2;0.31417178199350515;126;66;0.21673565546973161;0.24946596586361786;0.22201642335564664;0.012710239878495112;0.18886955554876328;0.22505547520148028;0.2220164233556466
3;0.39314498397034037;127;60;0.2447825175345375;0.28257133884489755;0.24263471062785488;0.021093358055193936;0.16250515703627708;0.2500435598219552;0.24263471062785488
2;0.48225903267308023;126;70;0.26660018694137694;0.303906355907412;0.253776751077557;0.02396424499699868;0.15986715673978216;0.2623867991724915;0.253776751077557
4;0.34228387584295494;127;61;0.22876157567109118;0.2689914422331702;0.23509451530412004;0.015636758722033087;0.176532484123027;0.24050921235500347;0.23509451530412004
2;0.4069144254265726;126;67;0.23641548319482986;0.2803188917012079;0.2360005133222575;0.0199662953282908;0.1627926030039628;0.2427125392149796;0.23600051332225744
1;0.3339700886956767;126;68;0.22818487328226628;0.2598701848953123;0.22932857610322274;0.014031570274646757;0.18885356629179487;0.23303950450810845;0.22932857610322274
0;0.37002202055245154;126;69;0.22591880878161352;0.26538359317146876;0.2267531270051368;0.016746945279907735;0.165746626589352;0.23234647352513413;0.22675312700513683
2;0.31706304274225694;125;74;0.2175758725790451;0.262287362031831;0.22182574679925401;0.015432345313180221;0.17661111377861938;0.22593616798294808;0.22182574679925401
2;0.3725335516564878;125;77;0.2206014343938315;0.2642860759480135;0.2308501076350101;0.01629219406821488;0.16957762332263038;0.23642033348159008;0.2308501076350101
1;0.30821015564563414;125;76;0.21684351436837365;0.24028650847019323;0.22223450031212297;0.009524811887444744;0.2013472638081825;0.22413333999429932;0.22223450031212297
0;0.34630488303069373;125;75;0.23043193071849344;0.26593147022137176;0.22747499893920664;0.01816200137635184;0.17129173622921504;0.23258256827647858;0.22747499893920664
4;0.3922523842057385;126;71;0.2571174727882107;0.2998814964030004;0.25904197252619354;0.019361026300270073;0.17386558267590768;0.2668513217022326;0.2590419725261935
4;0.33363339977241824;127;62;0.22566790557810862;0.2623153189047715;0.23012186950527594;0.014951633647252324;0.18155649478510621;0.23461226688338552;0.23012186950527594
3;0.3596880648546741;126;72;0.26036818080204943;0.27439002405841195;0.238948003356339;0.017108230868387087;0.17328361155782923;0.24496840601590386;0.238948003356339
3;0.33137444021748136;127;63;0.22723671275468138;0.2817336919306306;0.23837532645278414;0.019025792182796517;0.1619899655837975;0.2454379842856207;0.23837532645278414
16;0.33730372859664376;127;65;0.2500942375031442;0.2500942375031442;0.2252700319092192;0.011033586864953574;0.18911208721796446;0.22861322736431386;0.22527003190921915
4;0.2903054603446143;126;73;0.21572576867621152;0.2422051900276248;0.2237697370488275;0.00904794305076045;0.1977241852813748;0.22615770874605662;0.2237697370488275
2;0.40505319933036765;127;64;0.24844891685981915;0.2902009276390534;0.2473194261178906;0.019362326499473843;0.17073331159074845;0.2544006458110118;0.24731942611789057
3;0.3244215504455388;127;66;0.21596943918581768;0.24545576283540435;0.2209456849980654;0.012698794877409058;0.19044588751014438;0.2237657231726243;0.22094568499806547
2;0.39879128894630045;128;60;0.24458591507204924;0.2798943422814507;0.24039041045701634;0.0209969672208868;0.16081110668765666;0.24781026013230895;0.24039041045701634
2;0.4844818049279963;127;70;0.2661722724473764;0.3006948590474193;0.25333046074543225;0.024322406988238104;0.15973913480589266;0.26198399728322747;0.25333046074543225
2;0.3401564923148175;128;61;0.22543407559731704;0.26245074227816545;0.2307264349619831;0.01677275829144925;0.1716138826767654;0.23623799677647672;0.2307264349619831
2;0.4116879823504635;127;67;0.2383798001527198;0.2848936105391968;0.23896480542809515;0.02029234136952996;0.1661386971807968;0.24569837162450248;0.2389648054280951
1;0.33428689043672344;127;68;0.22741337551612162;0.2568096570319914;0.22759820997977467;0.013284083321395015;0.18957590747894412;0.23111378560218435;0.22759820997977473
0;0.3701755794827273;127;69;0.2288483923441958;0.2674523072856379;0.22682712464966107;0.01649229585490553;0.16791368060064596;0.23227431364423573;0.22682712464966107
2;0.3171789564664343;126;74;0.22548250088896754;0.26210502720842016;0.2214815837813263;0.015590311454215114;0.17560583512925365;0.22568767587522628;0.22148158378132624
2;0.37076112167862363;126;77;0.2165241802673071;0.2596701593360872;0.2269788557631169;0.01561067833489242;0.16672661714537154;0.23250304821634302;0.2269788557631169
0;0.303656026349885;126;76;0.21088054051826408;0.23605868067662963;0.21942604784157893;0.009009970235814856;0.1975729645567242;0.22142963543485983;0.21942604784157893
0;0.3451962144743257;126;75;0.22669277881903732;0.2650515775868854;0.22583862126176626;0.01880592838196008;0.170830945245517;0.23088196895621985;0.22583862126176626
