inchikey;block;smiles;smiles+ chemdraw;flag;lowest_price;pubchem_cid;urls
MFNOVGAVPIHLIA-UHFFFAOYNA-N;Fc1ccc(S)cc1[Xe];Fc1ccc(S)cc1Br;Fc1ccc(S)cc1Br;Y;55.0;26597090;http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=27270&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/cds008156?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
OZAXIPCFKZCQTO-UHFFFAOYNA-N;Fc1ccc([Xe])cc1OC(F)F;Fc1ccc(Br)cc1OC(F)F;Fc1ccc(Br)cc1OC(F)F;Y;55.0;45158709;http://www.combi-blocks.com/cgi-bin/find.cgi?OT-1619$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=92728&ExtHyperLink=1
YSLBCBFIERGSCR-UHFFFAOYNA-N;CCOC(=O)c1ccc([Xe])c(OC)c1;CCOC(=O)c1ccc(Br)c(OC)c1;CCOC(=O)c1ccc(Br)c(OC)c1;Y;55.0;46311277;http://www.combi-blocks.com/cgi-bin/find.cgi?QW-8279
STOLLQZNVJUFEJ-FYSNGBEMNA-N;NC(=O)c1cc(F)c([Xe])cc1F;NC(=O)c1cc(F)c(Br)cc1F;NC(=O)c1cc(F)c(Br)cc1F;Y;55.0;53418047;http://www.combi-blocks.com/cgi-bin/find.cgi?CA-5701
PYRZPZQOQINSNN-UHFFFAOYNA-N;CC(C)(C)OC(=O)c1ccc([Xe])c(F)c1;CC(C)(C)OC(=O)c1ccc(Br)c(F)c1;CC(C)(C)OC(=O)c1ccc(Br)c(F)c1;Y;55.0;60150310;http://www.combi-blocks.com/cgi-bin/find.cgi?QC-5136
ICASVILCMSZPHU-UHFFFAOYNA-N;CC(=O)c1c(F)cc([Xe])cc1F;CC(=O)c1c(F)cc(Br)cc1F;CC(=O)c1c(F)cc(Br)cc1F;Y;55.0;67001623;http://www.combi-blocks.com/cgi-bin/find.cgi?QJ-5156$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=150356&ExtHyperLink=1
HGNUHXLYNYBXLV-UHFFFAOYNA-N;FC(F)c1cc(Cl)ccc1[Xe];FC(F)c1cc(Cl)ccc1Br;FC(F)c1cc(Cl)ccc1Br;Y;55.0;118844257;http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=166808&ExtHyperLink=1
LEOYZEDKLRGKQN-FOKAJRNENA-N;Nc1ccc([Xe])cc1S(N)(=O)=O;Nc1ccc(Br)cc1S(N)(=O)=O;Nc1ccc(Br)cc1S(N)(=O)=O;Y;55.02;820700;http://www.combi-blocks.com/cgi-bin/find.cgi?SS-5424$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=40104&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/682470?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
JEGIRPIZZFQZKC-UHFFFAOYNA-N;COc1cc(C=O)c([Xe])cc1F;COc1cc(C=O)c(Br)cc1F;COc1cc(C=O)c(Br)cc1F;Y;55.48;23157907;https://www.sigmaaldrich.com/catalog/product/aldrich/775975?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
YDJSNGXOPJKQDY-UHFFFAOYNA-N;COC(=O)c1ccc(-c2ccc([Xe])cc2)cc1;COC(=O)c1ccc(-c2ccc(Br)cc2)cc1;COC(=O)c1ccc(-c2ccc(Br)cc2)cc1;Y;55.56;737627;http://www.combi-blocks.com/cgi-bin/find.cgi?QF-3025$$https://www.sigmaaldrich.com/catalog/product/aldrich/722308?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
YFJPUBVWUGEPAW-CEJRMOMQNA-N;O=C(O)c1cccc(-c2ccc([Xe])cc2)c1;O=C(O)c1cccc(-c2ccc(I)cc2)c1.O=C(O)c1cccc(-c2ccc(Br)cc2)c1;O=C(O)c1cccc(-c2ccc(I)cc2)c1.O=C(O)c1cccc(-c2ccc(Br)cc2)c1;Y;55.56;15037679!!1501998;http://www.combi-blocks.com/cgi-bin/find.cgi?CA-4838!!https://www.sigmaaldrich.com/catalog/product/aldrich/720097?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
ZBRKMEBVTDCXOB-UHFFFAOYNA-N;CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1[Xe];CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1Br;CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1Br;Y;55.63;16218107;https://www.sigmaaldrich.com/catalog/product/aldrich/660221?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
